qid,vid_name,q,a0,a1,a2,a3,answer_idx,chunk_ids,oracle_idx
JRYjFh_hHBs_q17_3,JRYjFh_hHBs,Why does the man on the left nod his head at 0:05?,The man on the left is daydreaming.,He nods his head because he agrees with what the man in blue is saying.,He cannot keep still and wants to nod his head.,The man on the left is trying to remember something.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",4
JW2HHfQiGVs_q2_1,JW2HHfQiGVs,Describe the man's reactions to the woman's speech and what this suggests,He seems to be agreeing with what she's saying suggesting they share similar opinions,The man seems distracted and uninterested in the conversation.,The man reacts to the woman's speech by paying attention,The group is discussing their favorite movies instead of community involvement.,0,"[0, 1, 2, 3, 4]",3
JW2HHfQiGVs_q1_3,JW2HHfQiGVs,Describe the nature of the relationship between the man and woman based on their interaction,The woman is a professional athlete.,The man and woman are siblings.,"They seem to be very close with each other, and seem like total strangers.","Based on their interaction, the man and the woman are friendly with each other",3,"[0, 1, 2, 3, 4]",3
JW2HHfQiGVs_q6_10,JW2HHfQiGVs,Describe the overall tone and mood of the video,The overall tone and mood of the video is one of happiness.,The group is impressed by each other's accomplishments.,The group is arguing about which church to volunteer at.,The overall tone and mood of the video is a friendly one,3,"[0, 1, 2, 3, 4]",3
JW2HHfQiGVs_q7_10,JW2HHfQiGVs,How are the two people interacting with each other?,The two people are arguing about their favorite sports teams.,The two people are discussing their favorite types of food.,The two people are interacting with each other in a friendly manner.,The two people are interacting with each other in a matter-of-fact manner,3,"[0, 1, 2, 3, 4]",3
JW2HHfQiGVs_q4_0,JW2HHfQiGVs,The man's nodding while the lady was speaking suggests that he was,following along and paying attention to what she was saying,The man's nodding while the lady was speaking suggests that he was thinking about something,The man is daydreaming about his upcoming vacation.,He is distracted by the woman's outfit while she is talking.,0,"[0, 1, 2, 3, 4]",3
JW2HHfQiGVs_q8_0,JW2HHfQiGVs,Why did the lady move her hand in circles while speaking?,To show the man what she was talking about,To accompany and emphasize what she was saying,She is trying to show off her new watch.,The lady is emphasizing her point to the other man and woman.,1,"[0, 1, 2, 3, 4]",3
JW2HHfQiGVs_q5_1,JW2HHfQiGVs,Why does the man nod when the woman completes his sentence?,He agrees with what she said.,The man nods when the woman completes his sentence because he is too tired to finish it himself.,The man nods because he is trying to impress the woman.,The man nods because he is tired.,0,"[0, 1, 2, 3, 4]",3
JW2HHfQiGVs_q3_1,JW2HHfQiGVs,Why does the man point to the woman in the middle of his sentence?,The man points to the woman in the middle of his sentence because he wants to get her attention.,The man points to the woman because she is wearing a baseball cap.,He wants her to help him finish his sentence.,The man is doing it to embarrass the woman.,2,"[0, 1, 2, 3, 4]",3
JXYyQamYw84_q2_6,JXYyQamYw84,How does the man make the woman laugh?,The man tells a joke.,He tells a lighthearted joke.,By mentioning a lighthearted statement within his own example.,He makes her laugh by doing a silly dance.,2,"[0, 1, 2, 3, 4]",1
JXYyQamYw84_q1_6,JXYyQamYw84,Is the man calm when he explains?,The man stutters a lot when he explains.,"No, he seems nervous and unsure when presenting his ideas.","Yes, as he doesn't hesitate much when presenting his views or tips.",The man is sweating profusely when he explains.,2,"[0, 1, 2, 3, 4]",1
JXYyQamYw84_q3_9,JXYyQamYw84,Is the man knowledgeable about the topic of relationships between men and women?,"Yes, since he's partly the reason as to why there was such an interview.",Is the man speaking from his experience.,The man is trying to catch a fish in the river.,The man is an expert on relationships between men and women.,0,"[0, 1, 2, 3, 4]",1
JXYyQamYw84_q5_1,JXYyQamYw84,Is the woman interested in what the man is saying?,The woman shakes her head in disagreement with what the man is saying.,Yes the woman periodically agrees or comments on what the man is saying.,The video discusses the differences in how men and women approach each other and remember important events. The woman is not interested in what the man is saying.,"No, since she kept on saying ""okay"" in response to the man.",1,"[0, 1, 2, 3, 4]",1
JXYyQamYw84_q4_9,JXYyQamYw84,Why does the woman laugh?,The woman finds the man's accent humorous.,Because she felt that the way the man presented his dialogue was entertaining.,She laughs because the puppy was so cute.,She laughed because she remembered a joke she heard earlier.,1,"[0, 1, 2, 3, 4]",1
K-bZQJ3P9N0_q9_0,K-bZQJ3P9N0,Does the man dislike the woman?,"No, he is enamored with her",He is annoyed with the woman.,"No, he is friendly with her",He is jealous of the woman's success.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q8_0,K-bZQJ3P9N0,How does the man make people feel about his comment on ghosts with thumbs?,The man's comment makes people feel scared because they believe in ghosts.,The man's comment makes people roll their eyes because it's a silly question.,He makes them amused because it is a strange thought that makes sense.,He makes them doubt his sanity by suggesting that ghosts have opposable thumbs.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q10_0,K-bZQJ3P9N0,How does the man make the audience laugh?,The man makes a reference to the movie that she was in.,The man tells a funny story about his cat.,The man jokes about what ghosts can do such as if they can text or not.,The man finds the woman's story funny.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q1_1,K-bZQJ3P9N0,How does the woman feel as she talks with the man?,The woman is an expert on ghosts and is showing off her knowledge.,The woman is bored during the conversation.,She is comfortable with the conversation.,She is a bit nervous,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q12_0,K-bZQJ3P9N0,How does the woman react when the man asks her if she believes in ghosts?,She is excited to talk about her experiences with ghosts.,She is surprised because it is very random question.,She is anxious to answer because she is unsure of the consequences.,She is nervous to answer because her answer may contradict her role that she acted.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q2_0,K-bZQJ3P9N0,How does the woman respond to the first question that the man asks her?,The woman is unsure how to respond to the man's question and stutters.,The woman is confident in stating her opinion.,The woman laughs at the man's question.,The woman confidently answers the man's question.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q3_0,K-bZQJ3P9N0,Is the woman comfortable answering these questions?,Yes the woman is comfortable sharing her opinion on ghosts.,The woman is distracted by the furniture in the living room.,No the woman feels slightly uncomfortable since she stutters and also could not respond to the first question.,The woman is excited to talk about ghosts.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q11_0,K-bZQJ3P9N0,Is the woman nervous when she agrees that a lot of people believe in ghosts?,She definitely agrees with the statement.,She is unsure if she agrees with the statement.,"Yes, she doesn't want to offend anyone.","No, she is confident that it is true and has no issues agreeing with the statement.",3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q14_11,K-bZQJ3P9N0,Why did the blonde lady laugh?,She thought he was funny,She laughed because she thought it was ridiculous.,She laughed because she remembered a funny joke.,"She was fake laughing, she didn't think it was funny",0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q5_11,K-bZQJ3P9N0,Why did the blonde lady look up when the man asked her a question?,She didn't know how to answer the question,The blonde lady was checking her phone.,She was rolling her eyes at him,The blonde lady looks confused at the man's question.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q4_1,K-bZQJ3P9N0,"Why did the lady say ""um"" and clear her throat?",She was trying to remember the name of the movie.,She had something stuck in her throat,She was trying to hold back a sneeze.,She wasn't sure what to say,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q6_0,K-bZQJ3P9N0,Why does the man smile after asking the woman about ghosts having thumbs or going to the bathroom?,so he smiled without any reason,"He was making a joke and found it funny, so he smiled",The man smiles because he is nervous about the conversation.,The man smiles because he thinks ghosts are real.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q13_0,K-bZQJ3P9N0,Why does the woman and why does the audience laugh when the man asks her whether ghosts have thumbs?,The woman and the audience laughed because they found the question about ghosts having thumbs funny.,"It was a surprising and unexpected question, so the people laughed at it",They're laughing at the question he asked about ghosts having thumbs.,"They thought it was a stupid question, so they laughed at it",1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K-bZQJ3P9N0_q7_0,K-bZQJ3P9N0,Why does the woman not give the man a straight answer when he asks if she believes in ghosts?,She is afraid of being judged for her beliefs.,"She thinks the question is very simple, and so doesn't want to give him ",She doesn't want to offend him or hurt his feelings.,She is hesitant because she is not sure what he will think about her honest response,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8
K25zmgYg5s4_q3_4,K25zmgYg5s4,Did the man think his team can win?,He was distracted by the cheerleaders on the sidelines.,"No, the man is very sure about his team and believes.",He was too nervous to watch the game.,"Yes, he had faith.",3,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7
K25zmgYg5s4_q5_6,K25zmgYg5s4,Does the boy enjoy football games?,forced him to attend it.,He is happy to watch the game.,The little boy is scared of the noise at football games.,The little girl in the green dress is selling lemonade at the game.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7
K25zmgYg5s4_q4_7,K25zmgYg5s4,How does the boy feel about the last-second touchdown?,He is proud of his team's effort.,He is hopeful for his team.,The boy is disappointed in the team's performance.,a waste of time for his team.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7
K25zmgYg5s4_q2_1,K25zmgYg5s4,How does the boy feel about the team after the game?,He is very happy about his team and very excited.,He still thinks the team is good.,The boy thinks the team needs a new coach.,The boy is disappointed in the team's performance.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7
K25zmgYg5s4_q1_3,K25zmgYg5s4,How does the crowd have a mixed reaction?,They are not sure if they approve of the message that the team is sending.,Some people in the crowd are angry while others are sad.,Some people in the crowd are disappointed while others are happy.,The winning team is happy.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7
K6v2QYiMdCE_q2_0,K6v2QYiMdCE,How does everyone feel when the man in the dark blue suit talks about the best time to fall over?,Everyone is amused because he is talking about the best time to do something you shouldn't do.,Everyone is confused because he is not making sense.,Everyone is skeptical about the idea of falling over intentionally.,Everyone is confused about the man's accent.,0,"[0, 1, 2, 3, 4]",2
K6v2QYiMdCE_q6_0,K6v2QYiMdCE,How does the man in the gray suit make everyone feel?,He makes them feel happy.,He made them feel uncomfortable.,He is not funny and makes them feel bored.,He makes them feel amused because he makes a joke.,3,"[0, 1, 2, 3, 4]",2
K6v2QYiMdCE_q8_9,K6v2QYiMdCE,What are the audience doing?,They are being entertained,They are all asleep.,Laughing at the conversation,They were chuckling and grinning.,0,"[0, 1, 2, 3, 4]",2
K6v2QYiMdCE_q1_0,K6v2QYiMdCE,What is the man on the left doing?,Facilitating the conversation,The man on the left is sleeping.,The man on the left is talking to the man on the right.,The man on the left is checking his phone.,0,"[0, 1, 2, 3, 4]",2
K6v2QYiMdCE_q3_9,K6v2QYiMdCE,What is the mood of the conversation?,It is an entertaining conversation,The mood of the conversation is unclear.,The group is arguing about the best way to perform on stage.,The group is discussing their favorite foods.,0,"[0, 1, 2, 3, 4]",2
K6v2QYiMdCE_q4_4,K6v2QYiMdCE,What is the woman in the flowered dress afraid of?,That she will be cast in a bad role,That she forgets her lines,The woman in the flowered dress is afraid of falling over on stage.,The woman in the flowered dress is afraid of forgetting her blocking on stage.,1,"[0, 1, 2, 3, 4]",2
K6v2QYiMdCE_q7_7,K6v2QYiMdCE,Why was the man in the tie laughing?,He was laughing because he won the lottery and decided to quit his job.,The man was laughing at the woman's outfit.,The man was confused by the conversation.,The man was amused by the conversation,3,"[0, 1, 2, 3, 4]",2
K6v2QYiMdCE_q5_7,K6v2QYiMdCE,Why was the woman in the flowered dress embarrassed?,She spilled coffee on herself before the play.,She forgot her lines,She messed up in a serious play,The woman in the flowered dress forgot her lines on stage.,2,"[0, 1, 2, 3, 4]",2
KBMAUGQpHBU_q5_4,KBMAUGQpHBU,Does the man agree with what the woman is saying?,"No, he disagrees with the topic.",The man is talking about his favorite book.,"no, he was arguing with her the whole time",yes he does,3,"[0, 1, 2, 3, 4, 5]",2
KBMAUGQpHBU_q3_9,KBMAUGQpHBU,How do the man and woman interact with each other?,They have a civil but distant interaction with each other.,They interact politely and formally with each other.,they like talking to each other,They don't like talking to each other.,2,"[0, 1, 2, 3, 4, 5]",2
KBMAUGQpHBU_q2_3,KBMAUGQpHBU,How do the man and woman treat each other?,He is dominating the conversation.,they are comfortable around each other,They are competitive with each other.,The man and woman treat each other nicely.,1,"[0, 1, 2, 3, 4, 5]",2
KBMAUGQpHBU_q4_6,KBMAUGQpHBU,How does the woman make the audience laugh after the man tells his story?,she tells her true emotions,She starts singing a song.,The woman says that the man's story was the most interesting thing ever.,She makes fun of the TV show that the man loves.,0,"[0, 1, 2, 3, 4, 5]",2
KBMAUGQpHBU_q1_6,KBMAUGQpHBU,Is the man interested in what the woman says?,"The woman says it, but the man is not interested.",The man was actually distracted and not interested in what the woman was saying.,"yes, he was paying attention",The man is more interested in the applause and laughter from the audience.,2,"[0, 1, 2, 3, 4, 5]",2
KHgGasfOFPg_q2_0,KHgGasfOFPg,How does the woman in the black shirt feel?,The woman's words suggest she is frustrated.,She is happy.,The woman is uncomfortable with the conversation.,She feels uncomfortable.,3,"[0, 1, 2, 3, 4, 5, 6, 7]",5
KHgGasfOFPg_q5_4,KHgGasfOFPg,How does the woman in the red hat feel about her shirt?,She feels that it is inappropriate that she is wearing it.,She likes the shirt and wants to keep it.,She is annoyed by the color of her shirt.,She is proud of the brand of her shirt.,0,"[0, 1, 2, 3, 4, 5, 6, 7]",5
KHgGasfOFPg_q3_9,KHgGasfOFPg,Is the woman in the hat frantic?,The woman in the hat is bored and uninterested.,The woman in the hat is content.,"Yes, she clearly is mad about the situation.",Is the woman in the hat a hat? she appears very calm and relaxed,2,"[0, 1, 2, 3, 4, 5, 6, 7]",5
KHgGasfOFPg_q4_4,KHgGasfOFPg,Why does the woman in black look confused?,She doesn't know how to get home.,The woman in black is confused because she is hungry.,The woman in black is confused because she forgot her lines.,She is not really part of the conversation.,3,"[0, 1, 2, 3, 4, 5, 6, 7]",5
KHgGasfOFPg_q1_1,KHgGasfOFPg,Why is the woman in the red hat angry at the woman offscreen?,The woman in the red hat is angry because the woman in the black shirt is wearing a black shirt.,The woman in the red hat is angry because the woman in the black shirt made a mistake.,She is mad that her co-actress performed poorly.,The woman in the red hat feels that she is not being given enough credit.,3,"[0, 1, 2, 3, 4, 5, 6, 7]",5
KWSDwS4S6Ss_q2_3,KWSDwS4S6Ss,How does the woman in the black leather pants feel about telling the others about her personal life?,She feels comfortable revealing information about herself to strangers.,The woman in the black leather pants is actually a spy.,she is certainly interested in letting peeople guess about her private life,The woman in the black leather pants is actually a fashion model.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1
KWSDwS4S6Ss_q5_0,KWSDwS4S6Ss,Why does the red-headed girl tell everyone where she got her ring from?,The red-headed girl was forced to reveal the origin of her ring due to a bet with her friends.,She wants to show off her own ring.,She wants to make the other woman feel bad about her ring.,She wants to emphasize how nice she thinks the other woman's ring is.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1
KWSDwS4S6Ss_q3_6,KWSDwS4S6Ss,Why does the woman in black leather pants laugh when the woman in the blue shirt talks?,The woman in black leather pants is laughing because the woman in the blue shirt made a funny face.,the outalndish guesses thathe women makes are complimentary,The woman in black leather pants is laughing because she saw a funny meme on her phone.,She feels excited.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1
KWSDwS4S6Ss_q4_2,KWSDwS4S6Ss,"Why does the woman in black repeat the joke that the man with the hair bun make ""if I was white""",Because she wanted to impress the man with the hair bun.,She was offended by what she heard,Because she found the joke amusing,Because she wanted to make a joke about the man with the hair bun.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1
KWSDwS4S6Ss_q1_7,KWSDwS4S6Ss,Why is the man with the hair bun touching the man's tattoo?,The man likes the tattoo so is looking,The man is checking the tattoo out,The man is trying to steal the tattoo design.,The man with the hair bun is a tattoo artist and is examining the tattoo for flaws.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1
KzN6XWDEmXI_q4_5,KzN6XWDEmXI,Do the two twins solve the problem by the end?,"No, they believe they were misled about the company's actual value.","Yes, they were disappointed with the final outcome and felt that they were not compensated fairly.",The man in the interview believes the company will be successful.,The man in the suit is excited about his new business venture.,0,"[0, 1, 2, 3, 4, 5, 6, 7]",1
KzN6XWDEmXI_q3_6,KzN6XWDEmXI,Why are the man and woman making a toast in the very beginning?,They are celebrating their recent lottery win.,They are happy about what the other man said.,Because it is someone's birthday.,They are celebrating their new jobs.,1,"[0, 1, 2, 3, 4, 5, 6, 7]",1
KzN6XWDEmXI_q5_9,KzN6XWDEmXI,Why do the man and women smile widely while holding cocktails?,They are friendly towards one another because they are both successful in their businesses.,Because they like each other,They are friendly because they both like Facebook.,They like what the other man said.,3,"[0, 1, 2, 3, 4, 5, 6, 7]",1
KzN6XWDEmXI_q1_6,KzN6XWDEmXI,Why does the man in striped dress shirt being interviewed have a slight smile on his face?,He is in disbelief from seeing the website.,He is smiling because he just remembered a funny joke.,Because he is telling a funny story,He is smiling because the proposed idea sounds interesting.,0,"[0, 1, 2, 3, 4, 5, 6, 7]",1
KzN6XWDEmXI_q2_8,KzN6XWDEmXI,With what attitude do the two men in suits walk past the reporters into the building?,The two men in suits are discussing the latest Facebook update.,They walk past the reporters with confidence.,"They walk past the reporters with a friendly, welcoming attitude.",The two men in suits want to appear open and friendly.,1,"[0, 1, 2, 3, 4, 5, 6, 7]",1
L3uDQ0S1Iis_q8_7,L3uDQ0S1Iis,Are the women being serious in the beginning?,in what is being discussed,"No, the two women are not being serious in the beginning because they are making light of something",The two women are very interested in the subject matter.,The women are serious in the beginning because they are discussing important issues.,1,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q9_6,L3uDQ0S1Iis,Are the women getting along?,"Yes, the woman are getting along because they are able to speak frankly with each other","No, they are not getting along because they have different opinions.","No, they stay away from each other.",The women are arguing and can't stand each other.,0,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q11_0,L3uDQ0S1Iis,How do the women act?,They are constantly interrupting each other.,No revision needed.,They have a good banter going.,The conversation between the two is uncomfortable.,2,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q3_0,L3uDQ0S1Iis,How do these women feel?,They feel frustrated with the current political climate.,They are very jealous.,They feel uncertain about the future of politics.,They feel unhappy with the topic of conversation.,3,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q6_0,L3uDQ0S1Iis,How does the woman on the right feel about Donald Trump?,She doesn't like him.,The women on the right are discussing the weather.,She thinks he helps her be a comedian.,The woman on the right is talking about her favorite TV show.,0,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q5_6,L3uDQ0S1Iis,Is the woman in the striped shirt brave?,The woman in the striped shirt is a terrible singer.,The woman in the striped shirt is a spy for the government.,"No, she is a coward.","Yes, the woman in the striped shirt is brave because she has no qualms about expressing her opinions",3,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q4_0,L3uDQ0S1Iis,Is the woman on the right comfortable with speaking?,The woman on the right is not paying attention to the conversation.,"No, she seems comfortable and comfortable.",The woman on the right feels uncomfortable being on camera.,"Yes, she speaks smoothly and confidently.",3,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q12_11,L3uDQ0S1Iis,Why are the women laughing together?,The women are having a serious conversation.,The women are not taking the conversation seriously because they find something humorous.,The women are laughing together because they find something humorous,The women are laughing together because they are scheming something together.,2,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q10_0,L3uDQ0S1Iis,Why does the woman in black think the woman in stripes gets material from the man she mentions?,The woman in black thinks the woman in stripes gets material from the man she mentions because they both have the same hair color.,The woman in black thinks the woman in stripes gets material from the man she mentions because she has seen one of the woman in stripes' comic bits.,black guessed that the woman in stripes gets material from the man she mentions,The woman in black thinks the woman in stripes gets material from the man she mentions because they both like the same type of coffee.,1,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q7_0,L3uDQ0S1Iis,Why does the woman in stripes mention that it's just the two of them talking?,The woman in stripes is commenting on the weather outside.,The woman in stripes is telling the woman in white about her favorite TV show.,to emphasize their exclusivity of the conversation and make sure no one else is listening in.,The woman mentions that it's just the two of them talking because she wanted to create an air of confidentiality and trust.,3,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q14_0,L3uDQ0S1Iis,Why does the woman in stripes not want to joke about the president?,The woman in stripes thinks the president is hilarious.,The woman in stripes thinks the president is doing a great job.,She doesn't think the things he does are funny.,She doesn't want anything to do with him.,3,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q1_0,L3uDQ0S1Iis,Why does the woman in stripes think she is suffering?,The woman is upset because her phone battery died.,She thinks she is suffering because she doesn't have enough comic material to discuss.,She thinks she is suffering because people in power aren't treating her fairly.,The woman is angry because her favorite TV show was cancelled.,2,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q2_0,L3uDQ0S1Iis,Why does the woman in stripes think the president is good for white comedians?,The woman in stripes is offended by the jokes of the man on the left.,They can make jokes about him while still keeping their privilege.,The president supports all white comedians.,The woman in stripes thinks the president is good for white comedians because he is a great dancer.,1,"[0, 1, 2, 3, 4, 5, 6]",3
L3uDQ0S1Iis_q13_0,L3uDQ0S1Iis,Why is the woman in stripes upset?,She doesn't like the president.,Her comedy show isn't getting good ratings.,She is upset because her favorite TV show was cancelled.,She is upset because she lost her phone.,0,"[0, 1, 2, 3, 4, 5, 6]",3
L75hdqt98nw_q14_0,L75hdqt98nw,Are the man and woman close?,Yes the man and woman are interacting comfortably and talking casually.,The video is about a cooking show.,The video shows people sitting in chairs and talking about politics.,the man and woman are speaking formally and politely to each other.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q6_0,L75hdqt98nw,Are the two people happy to be together?,The two people are arguing with each other.,The video shows people dancing in a club.,They want to stay.,"Yes, they are enjoying this time together.",3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q13_0,L75hdqt98nw,Do the two look like they are having a good time?,Do the two look like they are having a good time.,Yes,The man in blue is laughing because he just got a new haircut.,The two men are having a bad time.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q12_0,L75hdqt98nw,Does the man care about his house?,He is not serious about his house.,"Yes, he tried to make a serious point about his house.","Yes, he actually loves his house and takes great pride in it.","No, he states that he doesn't.",3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q10_0,L75hdqt98nw,Does the man respect the woman's opinions?,No the man does not trust in the woman's opinions.,He is talking about his favorite food.,He does not agree with David's ideas.,Yes the man listened to what the woman told him about his house.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q8_1,L75hdqt98nw,How did the man on the right feel about the advice and houses that the woman on the left had?,He thinks the man on the left has better ideas about houses than he does.,The man on the right thought the woman's advice was terrible because of her houses.,The man on the right thinks that the woman on the left is a professional tennis player.,He felt that he didn't understand much about houses compared to her.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q4_7,L75hdqt98nw,How did the woman on the left react when the man on the right said that her knees were hilarious?,The woman on the left was confused when the man called her knees hilarious.,The woman on the left was offended when the man called her knees hilarious.,The woman on the left didn't hear the comment about her knees.,the left thought the man was being charming when he called her knees hilarious,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q11_0,L75hdqt98nw,How do the man and the woman feel about his comment about her knees?,David and the other man are amused by the comment about her knees.,They think it's a good compliment.,They are offended by the comment and think it was inappropriate.,They are both confused as to why he made that comment because it made no sense and they find it funny because of its lack of sense.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q3_0,L75hdqt98nw,How does the man feel talking to the woman?,The woman is talking about her favorite TV show.,He feels excited.,He feels relaxed and confident.,He feels annoyed talking to the woman.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q7_0,L75hdqt98nw,Is the man unhappy at the beginning right before the woman speaks?,"Yes, he doesn't like what she did.","No, he is preparing for the mild shame he will feel as she tells the story.",The man is worried about his upcoming dentist appointment.,He is annoyed with what she is saying.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q1_0,L75hdqt98nw,Is the woman angry with the man?,The woman is confused about the conversation.,"No, she is happy to see him.",The woman is laughing at the man's joke.,"Yes, she does not like him.",1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q17_0,L75hdqt98nw,Is the woman honest?,Is the woman saying the opposite of what she meant.,Yes the woman shared her honest opinion about the man's house.,The woman accused the other man of lying.,The woman is a professional tennis player.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q5_0,L75hdqt98nw,Was the man successful in all of his jokes?,"Not really because his comment about ""her knees being hilarious"" was not that funny to her.",Yes because the woman though all his comments and jokes were very funny.,His jokes were successful.,He thinks his jokes are successful.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q9_7,L75hdqt98nw,Why did the man on the right ask the woman on the left to come over back then?,on her --> The man just wanted to check if the woman was home.,He asked the woman to come over to help him plan a surprise party for his wife.,The man was looking for advice from the woman.,He asked the woman to come over to teach him how to cook.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q2_0,L75hdqt98nw,Why does the man point and close one eye at 0:06?,He wants to show visually what he is talking about.,He wants the woman to look where he is pointing.,He is trying to block the sun from his eyes.,He is trying to get the attention of a passing bird.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q15_9,L75hdqt98nw,Why does the woman lean back at the end of the video?,The woman leans back at the end of the video because she is allergic to the flowers in the room.,The woman leans back at the end of the video because she is tired.,She has a bad core and cannot balance well.,The woman leans back at the end of the video because she is reacting to what the man has said.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
L75hdqt98nw_q16_7,L75hdqt98nw,Why does the woman shake her head and open her hands at 0:53?,The woman shakes her head and opens her hands at this moment because it shows how she feels.,The woman shakes her head and opens her hands because she is trying to get rid of a fly.,The woman looks surprised as she didn't expect that from the men.,The woman shakes her head and opens her hands at this moment because she is a woman,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4
LD1RAPiT_7A_q1_9,LD1RAPiT_7A,In what manner does the woman walk through the gym?,She slowly strides through with confidence.,She walks backwards through the gym.,The woman walks through the gym in a sprint,She runs through the gym.,0,"[0, 1, 2, 3, 4]",1
LD1RAPiT_7A_q5_9,LD1RAPiT_7A,What is the man's facial expression when the woman starts squatting?,The woman is wearing a green hat.,The man is happy.,He looks scared and worried about the woman.,The man is checking his phone.,2,"[0, 1, 2, 3, 4]",1
LD1RAPiT_7A_q3_3,LD1RAPiT_7A,Why are the two men laughing at each other?,They are laughing because one of them made a joke about the other's weightlifting form.,They are telling jokes to each other.,They think it is funny that an old woman is at the gym.,They are laughing because they just heard a funny joke from someone else in the gym.,2,"[0, 1, 2, 3, 4]",1
